district,district_name,country,region,region_name
02,Kasena Nankana West,GHA,09,Upper East
02,Keta Municipal,GHA,04,Volta
04,Ketu North,GHA,04,Volta
03,Ketu South,GHA,04,Volta
22,Kintampo North,GHA,07,Brong Ahafo
21,Kintampo South,GHA,07,Brong Ahafo
01,Komenda / Edina / Eguafo / Abirem,GHA,02,Central Region
06,Kpandai,GHA,08,Northern
15,Krachi East,GHA,04,Volta
16,Krachi West,GHA,04,Volta
20,Kwabre  East,GHA,06,Ashanti
14,Kwaebibirem,GHA,05,Eastern
20,Kwahu East,GHA,05,Eastern
21,Kwahu North (Afram Plains),GHA,05,Eastern
19,Kwahu South,GHA,05,Eastern
18,Kwahu West,GHA,05,Eastern
08,Lambussie ,GHA,10,Upper West
09,Lawra,GHA,10,Upper West
06,Ledzokuku / Krowor,GHA,03,Greater Accra
09,Lower Manya,GHA,05,Eastern
22,Mampong Municipal,GHA,06,Ashanti
20,Mamprusi  West,GHA,08,Northern
19,Mamprusi East,GHA,08,Northern
04,Mfantsiman,GHA,02,Central Region
07,Mpohor-Wassa East,GHA,01,Western Region
05,Nadowli,GHA,10,Upper West
08,Nanumba North,GHA,08,Northern
07,Nanumba South,GHA,08,Northern
07,New Juaben Municipal,GHA,05,Eastern
17,Nkoranza North,GHA,07,Brong Ahafo
16,Nkoranza South,GHA,07,Brong Ahafo
18,Nkwanta North,GHA,04,Volta
17,Nkwanta South,GHA,04,Volta
10,North Dayi,GHA,04,Volta
06,North Tongu,GHA,04,Volta
03,Nzema East,GHA,01,Western Region
05,Obuasi Municipal,GHA,06,Ashanti
18,Offinso Municipal,GHA,06,Ashanti
27,Offinso North,GHA,06,Ashanti
09,Prestea / Huni Valley,GHA,01,Western Region
20,Pru,GHA,07,Brong Ahafo
16,Saboba,GHA,08,Northern
13,Savelugu Nanton,GHA,08,Northern
02,Sawla / Tuna / Kalba,GHA,08,Northern
13,Sefwi-Akontombra,GHA,01,Western Region
15,Sefwi-Bibiani-Ahwiaso-Bekwai,GHA,01,Western Region
14,Sefwi-Wiawso,GHA,01,Western Region
05,Sekondi-Takoradi,GHA,01,Western Region
24,Sekyere Afram Plains,GHA,06,Ashanti
25,Sekyere Central ,GHA,06,Ashanti
23,Sekyere East,GHA,06,Ashanti
21,Sekyere South,GHA,06,Ashanti
19,Sene,GHA,07,Brong Ahafo
06,Shama,GHA,01,Western Region
04,Sissala East,GHA,10,Upper West
07,Sissala West,GHA,10,Upper West
09,South Dayi,GHA,04,Volta
01,South Tongu,GHA,04,Volta
04,Suhum / Kraboa Coaltar,GHA,05,Eastern
08,Sunyani Municipal,GHA,07,Brong Ahafo
09,Sunyani West,GHA,07,Brong Ahafo
13,Tain,GHA,07,Brong Ahafo
05,Talensi Nabdam,GHA,09,Upper East
11,Tamale Metro,GHA,08,Northern
07,Tano North,GHA,07,Brong Ahafo
06,Tano South,GHA,07,Brong Ahafo
08,Tarkwa Nsuaem,GHA,01,Western Region
15,Techiman,GHA,07,Brong Ahafo
08,Tema,GHA,03,Greater Accra
12,Tolon Kumbugu,GHA,08,Northern
15,Twifo / Heman / Lower Denkyira,GHA,02,Central Region
16,Upper Denkyira East,GHA,02,Central Region
17,Upper Denkyira West,GHA,02,Central Region
11,Upper Manya,GHA,05,Eastern
03,Wa East,GHA,10,Upper West
02,Wa Municipal,GHA,10,Upper West
01,Wa West,GHA,10,Upper West
10,Wassa Amenfi East,GHA,01,Western Region
11,Wassa Amenfi West,GHA,01,Western Region
